,Date,Model,Duration,PromoAmt,Forecast,Adj_Forecast,Adj_ForecastCY,Adj_ForecastNCY,Profit_Promo,Profit_NoPromo,incremental_Retail,PromoCost,incremental_Profit,Profitability,Retail,Retail_var1,Retail_var
0,2017-12-31,OUTLANDER 1000,14,250,808,869.88,698.66,171.22000000000003,3262158.32,3019293.52,61.879999999999995,217470.0,25394.799999999814,27443577.650000002,7738.88,1.0080604402761495,0.008060440276149538
0,2017-12-31,OUTLANDER 1000,15,250,889,957.7,776.41,181.29000000000002,3598609.37,3328914.08,68.70000000000005,239425.0,30270.290000000037,27448453.14,7745.7,1.008948808128175,0.008948808128175074
0,2017-12-31,OUTLANDER 1000,1,500,22,24.42,14.28,10.14,86319.05,76912.11,2.4200000000000017,12210.0,-2803.0599999999977,27415379.790000003,7679.42,1.0003152273023317,0.0003152273023316402
0,2017-12-31,OUTLANDER 1000,2,500,59,66.34,44.03,22.310000000000002,239660.12,211015.29,7.340000000000003,33170.0,-4525.170000000013,27413657.68,7684.34,1.0009561026442622,0.000956102644262082
0,2017-12-31,OUTLANDER 1000,3,500,91,102.49,69.02,33.47,371239.0,326383.45999999996,11.489999999999995,51245.0,-6389.459999999963,27411793.39,7688.49,1.0014966783899961,0.0014966783899960916
0,2017-12-31,OUTLANDER 1000,4,500,135,153.45,111.87,41.58,564239.1,492040.32,18.44999999999999,76725.0,-4526.22000000003,27413656.630000003,7695.45,1.002403282532239,0.0024032825322391543
0,2017-12-31,OUTLANDER 1000,5,500,214,242.54999999999998,172.57,69.97999999999999,887664.4,776023.52,28.549999999999983,121275.0,-9634.119999999995,27408548.73,7705.55,1.0037189006122182,0.0037189006122183123
0,2017-12-31,OUTLANDER 1000,6,500,249,282.62,203.51,79.10999999999999,1036706.28,905196.4199999999,33.620000000000005,141310.0,-9800.139999999898,27408382.71,7710.62,1.0043793148365248,0.004379314836524685
0,2017-12-31,OUTLANDER 1000,7,500,294,334.25,243.98,90.26999999999998,1229341.55,1071839.34,40.25,167125.0,-9622.790000000037,27408560.060000002,7717.25,1.0052429334375408,0.005242933437540706
0,2017-12-31,OUTLANDER 1000,8,500,341,388.60999999999996,289.21,99.39999999999998,1434746.19,1248342.78,47.60999999999996,194305.0,-7901.590000000084,27410281.26,7724.61,1.0062016412661194,0.0062016412661195725
0,2017-12-31,OUTLANDER 1000,9,500,412,471.7,364.19,107.50999999999998,1754473.79,1520493.34,59.69999999999999,235850.0,-1869.5500000000466,27416313.3,7736.7,1.0077764751856193,0.007776475185619381
0,2017-12-31,OUTLANDER 1000,10,500,473,541.49,417.75,123.73999999999998,2013736.65,1745313.37,68.49000000000001,270745.0,-2321.720000000205,27415861.130000003,7745.49,1.0089214536928488,0.00892145369284877
0,2017-12-31,OUTLANDER 1000,11,500,533,610.97,476.07,134.89999999999998,2276776.08,1971119.45,77.97000000000003,305485.0,171.63000000012107,27418354.48,7754.97,1.0101563110590075,0.010156311059007429
0,2017-12-31,OUTLANDER 1000,12,500,617,708.48,559.38,149.09999999999997,2647374.15,2288628.4299999997,91.48000000000002,354240.0,4505.720000000205,27422688.57,7768.48,1.0119161130649994,0.01191611306499935
0,2017-12-31,OUTLANDER 1000,13,500,740,852.2299999999999,687.92,164.30999999999997,3199356.61,2758975.6,112.2299999999999,426115.0,14266.009999999776,27432448.86,7789.23,1.0146189917936694,0.01461899179366939
0,2017-12-31,OUTLANDER 1000,14,500,808,931.7499999999999,759.3299999999999,172.41999999999996,3505003.39,3019293.52,123.74999999999989,465875.0,19834.87000000011,27438017.720000003,7800.75,1.0161195779601406,0.016119577960140664
0,2017-12-31,OUTLANDER 1000,15,500,889,1026.3899999999999,843.8299999999999,182.55999999999995,3868284.94,3328914.08,137.38999999999987,513195.0,26175.85999999987,27444358.71,7814.389999999999,1.0178963136641916,0.017896313664191726
0,2017-12-31,OUTLANDER 1000,1,750,22,25.630000000000003,15.42,10.21,91022.53,76912.11,3.6300000000000026,19222.5,-5112.080000000002,27413070.770000003,7680.63,1.0004728409534975,0.0004728409534974603
0,2017-12-31,OUTLANDER 1000,2,750,59,70.02000000000001,47.550000000000004,22.47,254017.05000000002,211015.29,11.02000000000001,52515.0,-9513.23999999999,27408669.610000003,7688.02,1.0014354565585515,0.001435456558551519
0,2017-12-31,OUTLANDER 1000,3,750,91,108.25,74.54,33.71,393721.0,326383.45999999996,17.25,81187.5,-13849.959999999963,27404332.89,7694.25,1.0022469714732318,0.002246971473231731
0,2017-12-31,OUTLANDER 1000,4,750,135,162.69,120.81,41.88,600387.8,492040.32,27.689999999999998,122017.5,-13670.01999999996,27404512.830000002,7704.69,1.0036068776865963,0.0036068776865963263
0,2017-12-31,OUTLANDER 1000,5,750,214,256.84000000000003,186.36,70.48,943534.15,776023.52,42.84000000000003,192630.0,-25119.369999999995,27393063.48,7719.84,1.005580304806565,0.0055803048065650685
0,2017-12-31,OUTLANDER 1000,6,750,249,299.45000000000005,219.78000000000003,79.67,1102535.16,905196.4199999999,50.450000000000045,224587.5,-27248.76000000001,27390934.09,7727.45,1.0065715774391037,0.006571577439103822
0,2017-12-31,OUTLANDER 1000,7,750,294,354.39,263.48,90.91,1308146.88,1071839.34,60.389999999999986,265792.5,-29484.960000000196,27388697.89,7737.39,1.0078663540445487,0.00786635404454865
0,2017-12-31,OUTLANDER 1000,8,750,341,412.4200000000001,312.32000000000005,100.1,1527967.62,1248342.78,71.42000000000007,309315.0,-29690.159999999916,27388492.69,7748.42,1.0093031131952586,0.009303113195258573
